DEFECTID,XREL,YREL,XINDEX,YINDEX,XSIZE,YSIZE,DEFECTAREA,DSIZE,CLASSNUMBER,TEST,CLUSTERNUMBER,ROUGHBINNUMBER
1,478.161,78.745,51,35,24.868,12.433,177.448,25.974,0,1,0,27
2,316.77,271.461,56,47,5.737,1.913,7.317,5.738,0,1,0,27
3,531.236,658.796,48,44,4.784,5.738,21.038,6.106,0,1,0,27
4,487.963,306.367,50,29,11.475,14.346,107.932,14.791,0,1,0,27
5,310.314,649.71,48,28,23.911,56.427,832.358,56.427,0,1,0,27
6,153.711,386.706,41,60,6.695,25.822,89.639,25.822,0,1,0,27
7,233.447,60.576,34,63,2.871,2.869,6.403,3.661,0,1,0,27
8,177.497,85.441,37,62,9.563,8.61,59.454,10.373,0,1,0,27
9,503.504,674.095,36,9,4.784,3.826,13.72,4.857,0,1,0,27
10,448.754,721.437,32,8,3.826,4.782,11.891,4.857,0,1,0,27
11,353.591,185.861,20,4,6.695,6.695,35.672,7.356,0,1,0,27
12,229.021,436.915,12,50,6.694,5.737,24.696,6.695,0,1,0,27
13,149.406,951.451,8,47,3.826,3.826,10.976,4.339,0,1,0,27
14,315.575,926.105,6,39,7.651,10.52,54.881,10.89,0,1,0,27
15,183.593,803.212,-3,51,32.517,34.431,453.681,44.914,0,1,0,27
16,179.41,87.353,-8,19,5.738,4.782,21.952,6.106,0,1,0,27
17,244.801,225.549,-6,70,15.302,19.127,139.946,23.95,0,1,0,27
18,300.272,145.692,-6,17,1.913,2.871,3.659,2.869,0,1,0,27
19,321.312,213.598,-24,0,13.389,10.521,91.468,15.005,0,1,0,27
20,225.437,403.917,-43,3,2.869,2.872,7.317,3.661,0,1,0,27
21,415.679,913.384,-49,61,4.478,80.997,4800,120,0,1,0,27
22,415.518,865.29,0,57,235.271,373.537,76799.992,486.088,0,1,0,27
23,330.876,462.738,-57,59,13.39,9.563,51.222,16.335,0,1,0,27
24,134.942,774.036,-50,7,4.782,8.608,28.355,8.757,0,1,0,27
25,245.76,406.789,-33,0,7.652,8.61,29.27,9.748,0,1,0,27
26,500.158,817.555,-3,71,66.947,15.301,19.208,12.874,0,1,0,27
27,229.977,467.041,36,63,44.95,25.822,97.871,29.432,0,1,0,27
28,239.186,90.225,-32,41,6.695,6.695,31.099,7.043,0,1,0,27
29,248.868,159.082,-67,25,1.911,2.87,2.744,3.09,0,1,0,27
30,327.17,479.472,-38,52,4.782,2.869,13.72,5.223,0,1,0,27
31,488.323,227.464,-53,22,5.737,3.825,17.379,5.74,0,1,0,27
32,456.882,388.137,-58,37,6.695,5.738,28.355,6.99,0,1,0,27
